Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
GO_BP,Cellular Response To Decreased Oxygen Levels (GO:0036294),4.165185e-06,7.439882e-05,549.72,4,RPTOR; PPARG; SIRT1; MTOR,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; ROSIGLITAZONE; Rapamycin; Resveratrol,No
KEGG,Hepatocellular carcinoma,4.736509e-06,2.876991e-05,297.96,5,RPS6KB1; PIK3R1; MTOR; NFE2L2; IGF1R,BARDOXOLONE METHYL; DACTOLISIB; GEDATOLISIB; MECASERMIN; Rapamycin,No
Reactome,CD28 Dependent PI3K/Akt Signaling R-HSA-389357,5.284967e-06,9.512940e-05,1346.70,3,RICTOR; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,Yes
GO_BP,Negative Regulation Of Protein Modification Process (GO:0031400),5.430308e-06,9.535253e-05,501.47,4,PRKAA1; PRKAA2; EPHB2; SIRT1,Dasatinib; Metformin; Resveratrol,No
GO_BP,Response To Insulin (GO:0032868),5.713979e-06,9.866137e-05,492.69,4,RPS6KB1; PPARG; PIK3R1; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; ROSIGLITAZONE; Rapamycin; Resveratrol,No
KEGG,MicroRNAs in cancer,5.733376e-06,3.358120e-05,195.19,6,RPTOR; BCL2; ABL1; PIK3R1; SIRT1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin; Resveratrol; VENETOCLAX,No
Reactome,mTORC1-mediated Signaling R-HSA-166208,6.033858e-06,1.036727e-04,1268.52,3,RPTOR; RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,Yes
Reactome,TP53 Regulates Metabolic Genes R-HSA-5628897,6.314021e-06,1.037696e-04,475.87,4,RPTOR; PRKAA1; PRKAA2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,Yes
GO_BP,Positive Regulation Of Growth (GO:0045927),6.314021e-06,1.072348e-04,475.87,4,RPTOR; BCL2; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; VENETOCLAX,No
GO_BP,Cellular Response To Hexose Stimulus (GO:0071331),6.849728e-06,1.144567e-04,1198.02,3,PRKAA1; PRKAA2; IGF1R,MECASERMIN; Metformin,No
